"ID" "State_code" "State" "Municipality" "Latitude" "Longitude" "Year" "Pollutant" "Agency" "Emission_estimate_(Gg)" "Lower_bound_(Gg)" "Upper_bound_(Gg)" "Product" "Industry"
112 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2017" "PST" "EPA" 0.0182761042261111 0.0182761042261111 0.0182761042261111 "Portland cement" "Cement"
113 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2018" "PST" "EPA" 0.0187489702216667 0.0187489702216667 0.0187489702216667 "Portland cement" "Cement"
114 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2019" "PST" "EPA" 0.022316294405 0.022316294405 0.022316294405 "Portland cement" "Cement"
115 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2020" "PST" "EPA" 0.0260301659479167 0.0260301659479167 0.0260301659479167 "Portland cement" "Cement"
116 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2021" "PST" "EPA" 0.0275756395304167 0.0275756395304167 0.0275756395304167 "Portland cement" "Cement"
117 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2022" "PST" "EPA" 0.0155343812543056 0.0155343812543056 0.0155343812543056 "Portland cement" "Cement"
118 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2014" "PM10" "EPA" 0.00487872326666667 0.00487872326666667 0.00487872326666667 "Portland cement" "Cement"
119 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2015" "PM10" "EPA" 0.00431853916666667 0.00431853916666667 0.00431853916666667 "Portland cement" "Cement"
120 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2016" "PM10" "EPA" 0.00520285173333333 0.00520285173333333 0.00520285173333333 "Portland cement" "Cement"
121 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2017" "PM10" "EPA" 0.00518383506666667 0.00518383506666667 0.00518383506666667 "Portland cement" "Cement"
122 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2018" "PM10" "EPA" 0.0053179588 0.0053179588 0.0053179588 "Portland cement" "Cement"
123 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2019" "PM10" "EPA" 0.0063297948 0.0063297948 0.0063297948 "Portland cement" "Cement"
124 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2020" "PM10" "EPA" 0.0073831975 0.0073831975 0.0073831975 "Portland cement" "Cement"
125 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2021" "PM10" "EPA" 0.0078215557 0.0078215557 0.0078215557 "Portland cement" "Cement"
126 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2022" "PM10" "EPA" 0.00440617263333333 0.00440617263333333 0.00440617263333333 "Portland cement" "Cement"
127 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2014" "NOX" "EPA" 0.243936163333333 0.243936163333333 0.243936163333333 "Portland cement" "Cement"
128 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2015" "NOX" "EPA" 0.215926958333333 0.215926958333333 0.215926958333333 "Portland cement" "Cement"
129 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2016" "NOX" "EPA" 0.260142586666667 0.260142586666667 0.260142586666667 "Portland cement" "Cement"
130 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2017" "NOX" "EPA" 0.259191753333333 0.259191753333333 0.259191753333333 "Portland cement" "Cement"
131 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2018" "NOX" "EPA" 0.26589794 0.26589794 0.26589794 "Portland cement" "Cement"
132 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2019" "NOX" "EPA" 0.31648974 0.31648974 0.31648974 "Portland cement" "Cement"
133 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2020" "NOX" "EPA" 0.369159875 0.369159875 0.369159875 "Portland cement" "Cement"
134 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2021" "NOX" "EPA" 0.391077785 0.391077785 0.391077785 "Portland cement" "Cement"
135 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2022" "NOX" "EPA" 0.220308631666667 0.220308631666667 0.220308631666667 "Portland cement" "Cement"
136 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2014" "CO" "EPA" 0.020908814 0.020908814 0.020908814 "Portland cement" "Cement"
137 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2015" "CO" "EPA" 0.018508025 0.018508025 0.018508025 "Portland cement" "Cement"
138 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2016" "CO" "EPA" 0.022297936 0.022297936 0.022297936 "Portland cement" "Cement"
139 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2017" "CO" "EPA" 0.022216436 0.022216436 0.022216436 "Portland cement" "Cement"
140 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2018" "CO" "EPA" 0.022791252 0.022791252 0.022791252 "Portland cement" "Cement"
141 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2019" "CO" "EPA" 0.027127692 0.027127692 0.027127692 "Portland cement" "Cement"
142 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2020" "CO" "EPA" 0.031642275 0.031642275 0.031642275 "Portland cement" "Cement"
143 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2021" "CO" "EPA" 0.033520953 0.033520953 0.033520953 "Portland cement" "Cement"
144 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2022" "CO" "EPA" 0.018883597 0.018883597 0.018883597 "Portland cement" "Cement"
145 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2014" "NMVOCs" "EPA" 0.0342672229444444 0.0342672229444444 0.0342672229444444 "Portland cement" "Cement"
146 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2015" "NMVOCs" "EPA" 0.0303325965277778 0.0303325965277778 0.0303325965277778 "Portland cement" "Cement"
147 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2016" "NMVOCs" "EPA" 0.0365438395555556 0.0365438395555556 0.0365438395555556 "Portland cement" "Cement"
148 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2017" "NMVOCs" "EPA" 0.0364102701111111 0.0364102701111111 0.0364102701111111 "Portland cement" "Cement"
149 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2018" "NMVOCs" "EPA" 0.0373523296666667 0.0373523296666667 0.0373523296666667 "Portland cement" "Cement"
150 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2019" "NMVOCs" "EPA" 0.044459273 0.044459273 0.044459273 "Portland cement" "Cement"
151 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2020" "NMVOCs" "EPA" 0.0518581729166667 0.0518581729166667 0.0518581729166667 "Portland cement" "Cement"
152 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2021" "NMVOCs" "EPA" 0.0549371174166667 0.0549371174166667 0.0549371174166667 "Portland cement" "Cement"
153 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2022" "NMVOCs" "EPA" 0.0309481173055556 0.0309481173055556 0.0309481173055556 "Portland cement" "Cement"
154 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2014" "SOX" "EPA" 0.094089663 0.094089663 0.094089663 "Portland cement" "Cement"
155 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2015" "SOX" "EPA" 0.0832861125 0.0832861125 0.0832861125 "Portland cement" "Cement"
156 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2016" "SOX" "EPA" 0.100340712 0.100340712 0.100340712 "Portland cement" "Cement"
157 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2017" "SOX" "EPA" 0.099973962 0.099973962 0.099973962 "Portland cement" "Cement"
158 "PB" "Paraíba" "Pitimbu" -7.476009 -35 "2018" "SOX" "EPA" 0.102560634 0.102560634 0.102560634 "Portland cement" "Cement"
