ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
147	Produção cimento	Espírito Santo	3	Vitória	2017	MIZU, Vitória - ES	-20,261634	-40	930389,6667	t clínquer
148	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2018	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	616284	t clínquer
149	Produção cimento	Espírito Santo	3	Serra	2018	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	616284	t clínquer
150	Produção cimento	Espírito Santo	3	Vitória	2018	MIZU, Vitória - ES	-20,261634	-40	616284	t clínquer
151	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2019	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	534917	t clínquer
152	Produção cimento	Espírito Santo	3	Serra	2019	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	534917	t clínquer
153	Produção cimento	Espírito Santo	3	Vitória	2019	MIZU, Vitória - ES	-20,261634	-40	534917	t clínquer
154	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2020	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	599084,3333	t clínquer
155	Produção cimento	Espírito Santo	3	Serra	2020	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	599084,3333	t clínquer
156	Produção cimento	Espírito Santo	3	Vitória	2020	MIZU, Vitória - ES	-20,261634	-40	599084,3333	t clínquer
157	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2021	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	658945,3333	t clínquer
158	Produção cimento	Espírito Santo	3	Serra	2021	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	658945,3333	t clínquer
159	Produção cimento	Espírito Santo	3	Vitória	2021	MIZU, Vitória - ES	-20,261634	-40	658945,3333	t clínquer
160	Produção cimento	Espírito Santo	3	Cachoeiros de Itapemirim	2022	NASSAU (Grupo João Santos), Cachoeiros de Itapemirim - ES	-20,786199	-41,117609	373159	t clínquer
161	Produção cimento	Espírito Santo	3	Serra	2022	LAFARGEHOLCIM, Serra - ES	-20,189102	-40	373159	t clínquer
162	Produção cimento	Espírito Santo	3	Vitória	2022	MIZU, Vitória - ES	-20,261634	-40	373159	t clínquer
163	Produção cimento	Goiás	3	Cezarina	2014	INTERCEMENT, Cezarina - GO	-17,008898	-50	539117,6667	t clínquer
164	Produção cimento	Goiás	3	Cocalzinho de Goiás	2014	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	539117,6667	t clínquer
165	Produção cimento	Goiás	3	Edealina	2014	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	539117,6667	t clínquer
166	Produção cimento	Goiás	3	Cezarina	2015	INTERCEMENT, Cezarina - GO	-17,008898	-50	442294	t clínquer
167	Produção cimento	Goiás	3	Cocalzinho de Goiás	2015	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	442294	t clínquer
168	Produção cimento	Goiás	3	Edealina	2015	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	442294	t clínquer
169	Produção cimento	Goiás	3	Cezarina	2016	INTERCEMENT, Cezarina - GO	-17,008898	-50	356601,6667	t clínquer
170	Produção cimento	Goiás	3	Cocalzinho de Goiás	2016	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	356601,6667	t clínquer
171	Produção cimento	Goiás	3	Edealina	2016	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	356601,6667	t clínquer
172	Produção cimento	Goiás	3	Cezarina	2017	INTERCEMENT, Cezarina - GO	-17,008898	-50	495328,6667	t clínquer
173	Produção cimento	Goiás	3	Cocalzinho de Goiás	2017	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	495328,6667	t clínquer
174	Produção cimento	Goiás	3	Edealina	2017	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	495328,6667	t clínquer
175	Produção cimento	Goiás	3	Cezarina	2018	INTERCEMENT, Cezarina - GO	-17,008898	-50	571921,3333	t clínquer
176	Produção cimento	Goiás	3	Cocalzinho de Goiás	2018	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	571921,3333	t clínquer
177	Produção cimento	Goiás	3	Edealina	2018	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	571921,3333	t clínquer
178	Produção cimento	Goiás	3	Cezarina	2019	INTERCEMENT, Cezarina - GO	-17,008898	-50	639901,6667	t clínquer
179	Produção cimento	Goiás	3	Cocalzinho de Goiás	2019	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	639901,6667	t clínquer
180	Produção cimento	Goiás	3	Edealina	2019	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	639901,6667	t clínquer
181	Produção cimento	Goiás	3	Cezarina	2020	INTERCEMENT, Cezarina - GO	-17,008898	-50	673322	t clínquer
182	Produção cimento	Goiás	3	Cocalzinho de Goiás	2020	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	673322	t clínquer
183	Produção cimento	Goiás	3	Edealina	2020	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	673322	t clínquer
184	Produção cimento	Goiás	3	Cezarina	2021	INTERCEMENT, Cezarina - GO	-17,008898	-50	745606,6667	t clínquer
185	Produção cimento	Goiás	3	Cocalzinho de Goiás	2021	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	745606,6667	t clínquer
186	Produção cimento	Goiás	3	Edealina	2021	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	745606,6667	t clínquer
187	Produção cimento	Goiás	3	Cezarina	2022	INTERCEMENT, Cezarina - GO	-17,008898	-50	426453,6667	t clínquer
188	Produção cimento	Goiás	3	Cocalzinho de Goiás	2022	LAFARGEHOLCIM, Cocalzinho de Goiás - GO	-15,787776	-49	426453,6667	t clínquer
189	Produção cimento	Goiás	3	Edealina	2022	VOTORANTIM CIMENTOS, Edealina - GO	-17,260086	-50	426453,6667	t clínquer
190	Produção cimento	Maranhão	5	São Luís	2014	ENTO BRAVO, São Luís - MA	-2,657102	-44	164839,3111	t clínquer
191	Produção cimento	Maranhão	5	Açaiândia	2014	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	164839,3111	t clínquer
192	Produção cimento	Maranhão	5	Bacabeira	2014	ICIBRA, Bacabeira - MA	-2,911047	-44	164839,3111	t clínquer
193	Produção cimento	Maranhão	5	Codó	2014	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	164839,3111	t clínquer
194	Produção cimento	Maranhão	5	São Luis	2014	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	164839,3111	t clínquer
195	Produção cimento	Maranhão	5	São Luís	2015	ENTO BRAVO, São Luís - MA	-2,657102	-44	170859,6444	t clínquer
196	Produção cimento	Maranhão	5	Açaiândia	2015	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	170859,6444	t clínquer
197	Produção cimento	Maranhão	5	Bacabeira	2015	ICIBRA, Bacabeira - MA	-2,911047	-44	170859,6444	t clínquer
198	Produção cimento	Maranhão	5	Codó	2015	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	170859,6444	t clínquer
199	Produção cimento	Maranhão	5	São Luis	2015	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	170859,6444	t clínquer
